id_tag,tag
1,Camilan manis
2,Biskuit dan kue
3,Lemak dan saus
4,Saus penambah rasa makanan
5,Sereal dan kentang
6,Makanan komposit
7,Makanan satu porsi
8,Permen
9,Susu dan produk susu
10,Susu dan yogurt
11,Sereal sarapan
12,Minuman
13,Minuman tanpa pemanis
14,Keju
15,Camilan asin
16,Makanan pembuka
17,Buah dan sayur
18,"Ikan, Daging, Telur"
19,Daging olahan
20,Minuman manis
21,Lemak
22,Roti
23,Pengganti susu berbasis tanaman
24,Kacang-kacangan
25,Buah-buahan
26,"Daging, Daging selain unggas"
27,Minuman pemanis buatan
28,Pizza dan quiche
29,Produk cokelat
30,Unggas
32,Es krim
33,Ikan dan makanan laut
34,Ikan berlemak
35,Telur
36,Buah kering
37,Sandwich
38,Produk asin dan berlemak
39,Sup
40,Pencuci mulut susu
41,Kue kering
42,Kentang
43,Teh dan teh herbal serta kopi
44,Nektar buah
45,Sayur
46,Sereal
47,Daging
48,Daging selain unggas
49,Ikan
50,Ikan berlemak sedikit
51,Jeroan
52,Sari buah
53,Serealia
54,Serealia olahan
55,Umbi berpati
56,Umbi berpati olahan
57,Kacang 
58,biji 
59,bean
60,olahan
61,Sayuran
62,Sayuran olahan
63,Buah
64,Buah olahan
65,unggas olahan
66,kerang 
67,udang
68,udang olahan
69,Telur olahan
70,Susu
71,Susu olahan
72,Lemak dan minyak
73,Lemak dan minyak olahan
74,Gula 
75,sirup 
76,konfeksioneri
77,Bumbu
78,Bumbu olahan
79,Minuman olahan
